1,MH102,,,1,8B662,,,1,ID7283,,,1,6E1032,,,,,,,,,2,2,,,,,,,,,,,,,,
2,MH1037,,,2,8B674,,,2,ID8396,,,2,6E1038,,,,8B676,,,,2,,2,,,,,,,,,,,,,,
3,MH104,,,3,8B676,2,,3,ID7251,,,3,AI2385,,,,8B678,,,,12,,12,,,,,,,,,,,,,,
4,MH1051,,,4,8B678,12,,4,ID7263,,,4,AI2387,,,,8B680,,,,7,,7,,,,,,,,,,,,,,
5,MH1057,2,,5,8B680,7,,5,ID7265,1,,5,EK343,3,,,8M504,3,,,,,3,,,,,,,,,,,,,,
6,MH106,,,6,8G922,,,6,IU169,,,6,EK343X,,,,AH3157,16,,,,,16,,,,,,,,,,,,,,
7,MH1063,,,7,BI872,7,,7,IU193,,,7,EK345,2,,,BA34,11,,,,,11,,,,,,,,,,,,,,
8,MH108,3,,8,BI874,9,,8,JT157,,,8,EK347,2,,,BI872,,,,7,,7,,,,,,,,,,,,,,
9,MH1138,,,9,CX722,,,9,JT161,,,9,EK8343,,,,BI874,,,,9,,9,,,,,,,,,,,,,,
10,MH114,10,,10,CX724,56,,10,JT165,,,10,EK8345,,,,BR228,61,,,,,61,,,,,,,,,,,,,,
11,MH1140,5,,11,CX730,3,,11,OD1002,,,11,EY487,,,,BS316,17,,,,,17,,,,,,,,,,,,,,
12,MH1148,,,12,CX732,1,,12,OD1004,6,,12,EY489,,,,CA484,73,,,,,73,,,,,,,,,,,,,,
13,MH1152,,,13,ET2639,,,13,OD1006,,,13,QG503,,,,CI722,20,,,,,20,,,,,,,,,,,,,,
14,MH116,3,,14,ET639,,,14,OD119,,,14,SQ103,2,,,CX724,,,,56,,56,,,,,,,,,,,,,,
15,MH1162,,,15,G9801,,,15,OD121,,,15,SQ105,,,,CX730,,,,3,,3,,,,,,,,,,,,,,
16,MH1166,,,16,G9803,,,16,OD131,,,16,SQ107,,,,CX732,,,,1,,1,,,,,,,,,,,,,,
17,MH118,11,,17,GA821,4,,17,OD135,,,17,SQ113,,,,CZ3048,4,,,,,4,,,,,,,,,,,,,,
18,MH1194,,,18,H9873,,,18,OD151,,,18,SQ115,,,,CZ350,1,,,,,1,,,,,,,,,,,,,,
19,MH1204,,,19,H9891,,,19,OD157,,,19,SQ121,6,,,CZ366,4,,,,,4,,,,,,,,,,,,,,
20,MH1208,1,,20,HO1354,1,,20,OD162,,,20,SQ125,3,,,CZ5032,15,,,,,15,,,,,,,,,,,,,,
21,MH123,8,,21,HO1564,,,21,OD1620,,,21,SQ127,,,,CZ5080,1,,,,,1,,,,,,,,,,,,,,
22,MH125,4,,22,HY554,,,22,OD1632,,,22,VJ1814,1,,,CZ8012,16,,,,,16,,,,,,,,,,,,,,
23,MH1252,,,23,JX726,,,23,OD1634,,,23,VJ826,1,,,CZ8098,30,,,,,30,,,,,,,,,,,,,,
24,MH1268,,,24,MY5002,,,24,OD1636,,,24,VJ906,,,,CZ8302,59,,,,,59,,,,,,,,,,,,,,
25,MH127,37,,25,MY5004,,,25,OD166,2,,,,20,,,EK343,,,3,,,3,,,,,,,,,,,,,,
26,MH1276,,,26,NH816,2,,26,OD171,,,,,,,,EK345,,,2,,,2,,,,,,,,,,,,,,
27,MH129,9,,27,NH886,,,27,OD1726,,,,,,,,EK347,,,2,,,2,,,,,,,,,,,,,,
28,MH1326,,,28,PK895,,,28,OD177,,,,,,,,FM862,2,,,,,2,,,,,,,,,,,,,,
29,MH133,1,,29,PR526,3,,29,OD182,1,,,,,,,FM864,1,,,,,1,,,,,,,,,,,,,,
30,MH1336,,,30,PR530,2,,30,OD184,,,,,,,,FM866,2,,,,,2,,,,,,,,,,,,,,
31,MH1338,2,,31,QR1853,,,31,OD186,,,,,,,,FM886,28,,,,,28,,,,,,,,,,,,,,
32,MH134,,,32,QR845,7,,32,OD1900,,,,,,,,FY2692,1,,,,,1,,,,,,,,,,,,,,
33,MH135,,,33,QR849,,,33,OD1906,,,,,,,,GA821,,,,4,,4,,,,,,,,,,,,,,
34,MH1384,4,,34,QR853,1,,34,OD191,,,,,,,,HO1354,,,,1,,1,,,,,,,,,,,,,,
35,MH1388,,,35,QR855,,,35,OD193,2,,,,,,,ID7265,,1,,,,1,,,,,,,,,,,,,,
36,MH139,1,,36,RX864,,,36,OD205,,,,,,,,JL724,1,,,,,1,,,,,,,,,,,,,,
37,MH1396,35,,37,TG416,1,,37,OD2102,1,,,,,,,KE428,27,,,,,27,,,,,,,,,,,,,,
38,MH141,3,,38,TG418,2,,38,OD2104,4,,,,,,,KL810,5,,,,,5,,,,,,,,,,,,,,
39,MH1426,,,39,TK175,,,39,OD2106,,,,,,,,MF824,1,,,,,1,,,,,,,,,,,,,,
40,MH1432,8,,40,TK397,2,,40,OD2108,,,,,,,,MF848,2,,,,,2,,,,,,,,,,,,,,
41,MH1436,,,41,TK4903,,,41,OD215,,,,,,,,MF858,7,,,,,7,,,,,,,,,,,,,,
42,MH1438,,,42,TK4911,,,42,OD2201,,,,,,,,MF8716,2,,,,,2,,,,,,,,,,,,,,
43,MH1446,,,43,TK61,3,,43,OD2203,,,,,,,,MH1057,2,,,,,2,,,,,,,,,,,,,,
44,MH145,3,,44,TK63,14,,44,OD2205,,,,,,,,MH108,3,,,,,3,,,,,,,,,,,,,,
45,MH1450,1,,45,TK6909,,,45,OD223,,,,,,,,MH114,10,,,,,10,,,,,,,,,,,,,,
46,MH147,4,,46,TK9462,,,46,OD2302,,,,,,,,MH1140,5,,,,,5,,,,,,,,,,,,,,
47,MH149,14,,47,UL315,2,,47,OD2304,1,,,,,,,MH116,3,,,,,3,,,,,,,,,,,,,,
48,MH150,,,48,UL319,19,,48,OD2306,,,,,,,,MH118,11,,,,,11,,,,,,,,,,,,,,
49,MH152,,,49,WY822,15,,49,OD231,16,,,,,,,MH1208,1,,,,,1,,,,,,,,,,,,,,
50,MH156,7,,50,WY824,3,,50,OD2403,,,,,,,,MH123,8,,,,,8,,,,,,,,,,,,,,
51,MH158,,,51,ZH328,,,51,OD2405,1,,,,,,,MH125,4,,,,,4,,,,,,,,,,,,,,
52,MH164,1,,52,ZH330,,,52,OD2407,6,,,,,,,MH127,37,,,,,37,,,,,,,,,,,,,,
53,MH170,62,,53,ZH332,,,53,OD241,,,,,,,,MH129,9,,,,,9,,,,,,,,,,,,,,
54,MH172,,,54,ZH334,,,54,OD293,15,,,,,,,MH133,1,,,,,1,,,,,,,,,,,,,,
55,MH174,,,,,178,,55,OD295,,,,,,,,MH1338,2,,,,,2,,,,,,,,,,,,,,
56,MH179,2,,,,,,56,OD297,5,,,,,,,MH1384,4,,,,,4,,,,,,,,,,,,,,
57,MH180,,,,,,,57,OD306,,,,,,,,MH139,1,,,,,1,,,,,,,,,,,,,,
58,MH182,49,,,,,,58,OD322,,,,,,,,MH1396,35,,,,,35,,,,,,,,,,,,,,
